# 2016 Draft Class  Running Back Prospect Tier Board (RB-Only Rankings)

| Tier | RB Rank | Player | College | Key Prospect Note | Primary Role Projection |
| --- | --- | --- | --- | --- | --- |
| Tier 1 (Elite) | 1 | Ezekiel Elliott | Ohio State | Rare vision + receiving + pass pro | Three-down starter |
| Tier 2 (High Upside) | 2 | Derrick Henry | Alabama | Size/speed power profile; workload back | Early-down feature back |
| Tier 3 (Starter Traits) | 3 | Devontae Booker | Utah | Contact balance and toughness; reliable | Rotational starter |
| Tier 3 (Starter Traits) | 4 | Kenneth Dixon | Louisiana Tech | Productive; strong receiving résumé | Committee lead / 3-down potential |
| Tier 4 (Role Players) | 5 | C.J. Prosise | Notre Dame | Converted WR skill set; mismatch | Passing-down specialist |
| Tier 4 (Role Players) | 6 | Paul Perkins | UCLA | Zone patience; solid all-around | Committee back |
| Tier 5 (Depth/Development) | 7 | Jordan Howard | Indiana | Straight-line power; limited burst | Early-down depth |
| Tier 5 (Depth/Development) | 8 | Alex Collins | Arkansas | Runs hard; ball security questions | Backup / rotation |
| Tier 5 (Depth/Development) | 9 | Wendell Smallwood | West Virginia | Space and receiving utility | Third-down depth |
| Tier 6 (Late-Round) | 10 | Keith Marshall | Georgia | Speed returner type; injuries | Gadget/return candidate |
| Tier 6 (Late-Round) | 11 | Daniel Lasco | California | Good athlete; health concerns | Special teams / depth |
