# Baby Name Meanings with Popularity Scores (Meaning Is Secondary to Trends)

| Name | Gender | Popularity Score (0-100) | 10-Year Trend | Meaning | Origin |
|---|---|---:|---|---|---|
| Olivia | Girl | 98 | Stable high | olive tree | Latin/English usage |
| Noah | Boy | 97 | Stable high | rest; comfort | Hebrew |
| Ava | Girl | 92 | Slight decline | life | Latin/modern usage |
| Liam | Boy | 96 | Stable high | strong-willed warrior | Irish |
| Sophia | Girl | 95 | Stable high | wisdom | Greek |
| Mason | Boy | 90 | Slight decline | stone worker | English |
| Isabella | Girl | 91 | Stable high | pledged to God | Hebrew/Spanish usage |
| Lucas | Boy | 89 | Rising | from Lucania | Latin |
| Amelia | Girl | 93 | Rising | work; industrious | Germanic |
| Elijah | Boy | 88 | Rising | my God is Yahweh | Hebrew |
