# 1995 NASCAR SuperTruck Series
> Schedule

| No. | Race Title | Track | Date | Network |
| --- | --- | --- | --- | --- |
| 1 | Skoal Bandit Copper World Classic | Phoenix International Raceway , Avondale | February 5 | TNN |
| 2 | Racing Champions 200 | Tucson Raceway Park , Tucson | April 8 | ESPN |
| 3 | Scott Irvin Chevrolet/Craftsman 200 | Saugus Speedway , Saugus | April 15 | TNN |
| 4 | Ford Credit 125 | Mesa Marin Raceway , Bakersfield | April 22 | ABC |
| 5 | Maxx Race Cards 200 | Portland Speedway , Portland | May 5 | TNN |
| 6 | Jerr Dan/Nelson 150 | Evergreen Speedway , Monroe | May 13 | TNN |
| 7 | Western Auto 200 | I-70 Speedway , Odessa | May 27 | TNN |
| 8 | Ford Credit 200 | Louisville Motor Speedway , Louisville | June 3 | ESPN |
| 9 | Pizza Plus 150 | Bristol International Raceway , Bristol | June 13 | ESPN |
| 10 | Sears Auto Center 125 | Milwaukee Mile , West Allis | July 1 | CBS |
| 11 | Total Petroleum 200 | Colorado National Speedway , Erie | July 15 | CBS |
| 12 | Heartland Tailgate 175 | Heartland Park Topeka , Topeka | July 29 | TNN |
| 13 | Action Packed Racing Cards 150 | Indianapolis Raceway Park , Clermont | August 3 | ESPN |
| 14 | Stevens Beil/Genuine Car Parts 150 | Flemington Speedway , Flemington | August 19 | TNN |
| 15 | Fas Mart Supertruck Shootout | Richmond International Raceway , Richmond | September 7 | ESPN |
| 16 | Goody's 150 | Martinsville Speedway , Martinsville | September 25 | ESPN |
| 17 | Lowe's 150 | North Wilkesboro Speedway , North Wilkesboro | September 30 | ESPN |
| 18 | Subway 100 | Sears Point Raceway , Sonoma | October 7 | TNN |
| 19 | Spears Manufacturing 200 | Mesa Marin Raceway , Bakersfield | October 15 | TNN |
| 20 | GM Goodwrench/Delco Battery 200 | Phoenix International Raceway , Avondale | October 28 | TNN |
|  | NASCAR Supertruck 25 | Homestead Motorsports Complex , Homestead | November 4 | TBS |
