# Best-Selling First-Party Console Game Titles by Platform (Selected Examples)

| Platform family | Game title | Publisher type | Units sold (approx.) | Release window | Notes |
| --- | --- | --- | --- | --- | --- |
| Nintendo Switch | Mario Kart 8 Deluxe | First-party | 60+ million | 2017–present | System-seller for Switch |
| Nintendo Switch | Animal Crossing: New Horizons | First-party | 45+ million | 2020–present | Switch exclusive |
| Nintendo Switch | Super Smash Bros. Ultimate | First-party | 30+ million | 2018–present | Switch exclusive |
| Nintendo Switch | The Legend of Zelda: Breath of the Wild | First-party | 30+ million | 2017–present | Also released on Wii U |
| Wii | Wii Sports | First-party | 82+ million | 2006–2013 | Commonly bundled with Wii |
| Wii | Wii Fit / Wii Fit Plus | First-party | 40+ million | 2007–2013 | Often treated as combined family |
| Nintendo DS | New Super Mario Bros. | First-party | 30+ million | 2006–2010s | Long tail sales |
| Nintendo DS | Nintendogs (series) | First-party | 20+ million | 2005–2007 | Aggregated series variants |
| PlayStation 4 | Marvel's Spider-Man | First-party | 20+ million | 2018–present | PS4 lead platform |
| PlayStation 4 | God of War (2018) | First-party | 20+ million | 2018–present | PS4 exclusive at launch |
| PlayStation 2 | Gran Turismo 3: A-Spec | First-party | 14+ million | 2001–2002 | PS2 exclusive |
| PlayStation 3 | The Last of Us | First-party | 17+ million | 2013–2014 | Later remaster on PS4 |
| Xbox 360 | Kinect Adventures! | First-party (published by Microsoft) | 24+ million | 2010–2012 | Often bundled with Kinect |
| Xbox 360 | Halo 3 | First-party | 14+ million | 2007–2010s | Flagship Xbox franchise |
| Wii U | Super Smash Bros. for Wii U | First-party | 5+ million | 2014–2016 | Smaller install base |
| Nintendo 64 | Mario Kart 64 | First-party | 9+ million | 1996–1998 | Classic N64 best-seller |
