# Chronological List of Governors General of New France (1663–1712)

| Period | Office holder | Term start | Term end | Notes |
| --- | --- | --- | --- | --- |
| Early royal administration | Augustin de Saffray de Mésy | 1663 | 1665 | First governor general after New France became a royal province |
|  | Daniel de Rémy de Courcelle | 1665 | 1672 | Oversaw early expansion and defense |
| Frontenac era (first term) | Louis de Buade de Frontenac | 1672 | 1682 | First term as governor general |
|  | Joseph-Antoine Le Febvre de La Barre | 1682 | 1685 | Replaced Frontenac |
| Denonville & return of Frontenac | Jacques-René de Brisay de Denonville | 1685 | 1689 | Marquis de Denonville |
|  | Louis de Buade de Frontenac | 1689 | 1698 | Second term |
| Transition to 18th century | Louis-Hector de Callière | 1699 | 1703 | Former governor of Montreal |
|  | Philippe de Rigaud de Vaudreuil | 1703 | 1725 | Longest-serving governor general of New France |
|  | Claude de Ramezay (acting) | 1712 | 1713 | Acting during Vaudreuil’s absence (example interim) |
