# Egyptian Gods and Goddesses Quick Lookup (Name, Primary Roles, Family Links, Alternate Names)

| Deity | Type | Primary roles | Common relationships | Alternate names / epithets |
| --- | --- | --- | --- | --- |
| Aten | God | Solar disk, royal cult focus | Promoted by Akhenaten | "The Aten" |
| Atum | God | Creation, primeval deity | Linked with Ennead of Heliopolis | "Lord of the Two Lands" (epithet) |
| Khnum | God | Creation on the potter's wheel, Nile sources | Sometimes paired with local triads | "Ram-headed creator" (descriptor) |
| Neith | Goddess | Weaving, war, protection | Associated with Sais | "Ancient One" (epithet) |
| Nekhbet | Goddess | Kingship protection (Upper Egypt) | Paired with Wadjet as the Two Ladies | "White Vulture" (descriptor) |
| Wadjet | Goddess | Kingship protection (Lower Egypt), uraeus | Paired with Nekhbet as the Two Ladies | "Uraeus" (descriptor) |
| Sobek | God | Crocodiles, strength, fertility, Nile | Worshiped in Fayum traditions | "Lord of the Waters" (epithet) |
| Tefnut | Goddess | Moisture, rain, order | Sister/consort of Shu; mother of Geb and Nut | "Lady of Dew" (descriptor) |
| Shu | God | Air, separation of sky and earth | Brother/consort of Tefnut; father of Geb and Nut | "He who holds up the sky" (descriptor) |
| Set | God | Storms, desert, disorder, conflict | Brother of Osiris, Isis, Nephthys | Seth (variant) |
| Apep | Serpent deity | Chaos, enemy of the sun | Opposes Ra in nightly journey myths | Apophis (Greek form) |
| Hapi | God | Nile inundation, abundance | Personification of flood rather than a royal god | "Bringer of Plenty" (epithet) |
| Khepri | God | Rising sun, renewal | Aspect/form of the solar deity | "He who comes into being" (meaning) |
| Mut | Goddess | Motherhood, queenship | Consort of Amun in Theban triad | "Mother" (meaning) |
| Seshat | Goddess | Writing, record-keeping, measurement | Associated with Thoth as scholarly counterpart | "Mistress of the House of Books" (epithet) |
