# LGBT Characters Across Media (Including Literature, Games, and Some Screen)

| Character | Work | Orientation/Gender identity | Medium | Notes |
| --- | --- | --- | --- | --- |
| Lisbeth Salander | The Girl with the Dragon Tattoo | Bisexual | Novel/Film/TV | Cross-media franchise |
| Truman Capote | Capote | Gay | Film | Biopic portrayal |
| Pussy Galore | Goldfinger | Lesbian | Film/Novel | Appears in original novel too |
| Damian | Mean Girls | Gay | Film/Musical | Stage musical version exists |
| Georges Querelle | Querelle | Bisexual | Novel/Film | Based on source text |
| Rachel | Imagine Me & You | Bisexual | Film | Screen-only focus not maintained |
| Glen/Glenda Ray | Seed of Chucky | Transgender | Film | Horror franchise |
| Sakti | Arisan! | Gay | Film | Indonesian cinema |
| Gareth | Four Weddings and a Funeral | Gay | Film | Ensemble cast |
| Yali | The Bubble | Gay | Film | Israeli film |
