# List of North Carolina Civil War Confederate units (Artillery batteries raised in North Carolina)

| Battery (Final Designation) | Organized (Year) | Type | Initial Assignment / District (example) | Alternate Designation |
| --- | --- | --- | --- | --- |
| 1st North Carolina Light Battery | 1861 | Light Artillery | Coastal defenses (Cape Fear area) | Manly's Battery (used in some rosters) |
| 2nd North Carolina Light Battery | 1861 | Light Artillery | North Carolina Department | Latham's Battery |
| 3rd North Carolina Light Battery | 1861 | Light Artillery | Army of Northern Virginia (period) | Starr's Battery |
| 4th North Carolina Light Battery | 1861 | Light Artillery | Wilmington & approaches | Reilly's Battery |
| 5th North Carolina Light Battery | 1861 | Light Artillery | Eastern North Carolina districts | Brem's Battery |
| 6th North Carolina Light Battery | 1862 | Light Artillery | Petersburg–Weldon corridor (period) | Houghton's Battery |
| 7th North Carolina Light Battery | 1862 | Light Artillery | Richmond defenses (period) | Garden's Battery |
| 8th North Carolina Light Battery | 1862 | Light Artillery | Coastal / river defenses | Ashe's Battery |
| 9th North Carolina Light Battery | 1862 | Light Artillery | Field service in NC/VA (period) | Hart's Battery |
| 10th North Carolina Light Battery | 1863 | Light Artillery | Department of North Carolina & Southern Virginia | Branch's Battery (informal) |
| 11th North Carolina Light Battery | 1863 | Light Artillery | Fortifications & field detachments | Ruffin's Battery |
| 12th North Carolina Light Battery | 1864 | Light Artillery | Late-war reorganization/defense roles | “Reserve Artillery” (roster label in some lists) |
