# Law & Order  Special Victims Unit —  Agent Provocateur  — Episode Cast (Actor   Character)

| Actor | Character in Episode | Department/Role | Credit Detail |
|---|---|---|---|
| Mariska Hargitay | Lt. Olivia Benson | SVU | Main cast |
| Peter Scanavino | ADA Dominick "Sonny" Carisi Jr. | DA's Office | Main cast |
| Raúl Esparza | ADA Rafael Barba | DA's Office | Main cast |
| Shiloh Fernandez | Scott Russo | Guest | Appears as key case figure |
| Kelli Giddish | Sgt. Amanda Rollins | SVU | Main cast |
| Ice-T | Sgt. Odafin "Fin" Tutuola | SVU | Main cast |
| Andy Karl | Sgt. Mike Dodds | SVU | Main cast |
| Peter Gallagher | Chief William Dodds | NYPD | Recurring |
| Guest Actor: Aimee Carrero | Mia Torres | Guest | Episode-specific character |
