# 2008 NASCAR Craftsman Truck Series
> Races

| Pos | No. | Driver | Manu. | Team |
| --- | --- | --- | --- | --- |
| 1 | 88 | Matt Crafton | Chevrolet | ThorSport Racing |
| 2 | 8 | Chad McCumbee | Chevrolet | MRD Motorsports |
| 3 | 10 | Brendan Gaughan | Ford | Circle Bar Racing |
| 4 | 99 | Erik Darnell | Ford | Roush Fenway Racing |
| 5 | 14 | Rick Crawford | Ford | Circle Bar Racing |
| 6 | 60 | Terry Cook | Toyota | Wyler Racing |
| 7 | 18 | Dennis Setzer | Dodge | Bobby Hamilton Racing-Virginia |
| 8 | 51 | Kyle Busch | Toyota | Billy Ballew Motorsports |
| 9 | 46 | Landon Cassill | Chevrolet | Morgan-Dollar Motorsports |
| 10 | 5 | Mike Skinner | Toyota | Bill Davis Racing |
