# Byzantine High Offices  known office-holders with tenure ranges (9th–12th centuries)

| Office | Holder | Tenure (start–end) | Reigning emperor(s) | Region/command | Key note |
| --- | --- | --- | --- | --- | --- |
| Domestikos ton Scholon (East) | John Kourkouas | c. 922 – 944 | Romanos I Lekapenos; Constantine VII | Eastern field army | Led long eastern offensives; dismissed after palace politics |
| Domestikos ton Scholon (East) | Bardas Phokas the Elder | 945 – 955 | Constantine VII | Eastern field army | Veteran general; oversaw eastern armies in mid-10th c. |
| Domestikos ton Scholon (East) | Nikephoros Phokas (later Emperor) | 955 – 963 | Constantine VII; Romanos II | Eastern field army | Major victories incl. Crete campaign; became emperor in 963 |
| Domestikos ton Scholon (West) | Leo Phokas the Younger | 959 – 963 | Romanos II | Western field army | Brother of Nikephoros II; operated in Balkans/West |
| Parakoimomenos | Basil Lekapenos | c. 958 – 985 | Constantine VII; Romanos II; Nikephoros II; John I; Basil II | Court (palace) | Powerful eunuch official; influence curtailed under Basil II |
| Logothetes tou dromou | Leo the Mathematician | c. 840 – 843 | Theophilos | Foreign affairs/post | Senior intellectual; served in high administrative role |
| Megas doux | John Doukas | 1092 – unknown | Alexios I Komnenos | Imperial fleet | Early holder in Komnenian era; tenure end not preserved |
| Megas doux | Landulf | 1099 – 1105 | Alexios I Komnenos | Imperial fleet | Western-origin admiral; active during Norman conflicts |
| Megas doux | Isaac Kontostephanos | 1105 – 1108 | Alexios I Komnenos | Imperial fleet | Replaced Landulf; removed after poor performance |
| Megas doux | Marianos Maurokatakalon | 1108 – unknown | Alexios I Komnenos | Imperial fleet | Successor of Isaac; details of end date unclear |
