# Busiest London Railway Stations by Annual Passenger Traffic (Selected Years)

| Rank (2023–24) | Station | Annual passengers (2023–24) | Annual passengers (2022–23) |
|---:|---|---:|---:|
| 1 | London Waterloo | 95,210,000 | 89,480,000 |
| 2 | London Victoria | 83,670,000 | 78,120,000 |
| 3 | London Liverpool Street | 66,540,000 | 61,300,000 |
| 4 | London Bridge | 58,910,000 | 54,700,000 |
| 5 | London Paddington | 55,230,000 | 50,980,000 |
| 6 | London Euston | 46,880,000 | 44,150,000 |
| 7 | St Pancras International | 45,120,000 | 41,900,000 |
| 8 | King's Cross | 44,760,000 | 42,300,000 |
| 9 | Stratford (London) | 41,980,000 | 39,440,000 |
| 10 | Cannon Street | 34,650,000 | 32,810,000 |
