# List of Star Trek production staff
> Directors

| Person | Series |
| --- | --- |
| J. J. Abrams | FILM |
| David Alexander | TOS |
| Corey Allen | TNG, DS9 |
| Reza Badiyi | DS9 |
| Cliff Bole | TNG, DS9, VOY |
| LeVar Burton | TNG, DS9, VOY, ENT |
| Robert Butler | TOS |
| David Carson | TNG, DS9, FILM |
| Marvin Chomsky | TOS |
| Robert L. Collins | PII |
| James L. Conway | DS9, VOY, ENT |
| Marc Daniels | TOS |
| Herschel Daugherty | TOS |
| Lawrence Dobkin | TOS |
| John Erman | TOS |
| Jonathan Frakes | TNG, DS9, VOY, FILM |
| Robert Gist | TOS |
| Murray Golden | TOS |
| James Goldstone | TOS |
| Harvey Hart | TOS |
| Robert Iscove | TNG |
| Winrich Kolbe | TNG, DS9, VOY, ENT |
| James Komack | TOS |
| Allan Kroeker | DS9, VOY, ENT |
| Les Landau | TNG, DS9, VOY, ENT |
| Peter Lauritson | TNG, DS9, VOY, ENT, FILM |
| Tony Leader | TOS |
| David Livingston | TNG, DS9, VOY, ENT |
| Russ Mayberry | TNG |
| John Meredyth Lucas | TOS |
| Don McDougall | TOS |
| Vincent McEveety | TOS |
| Nicholas Meyer | FILM |
| Gene Nelson | TOS |
| Adam Nimoy | TNG |
| Leonard Nimoy | FILM |
| Michael O'Herlihy | TOS |
| Gerd Oswald | TOS |
| Leo Penn | TOS |
| Joseph Pevney | TOS |
| Joseph Sargent | TOS |
| Joseph L. Scanlan | TNG |
| Robert Scheerer | TNG, DS9, VOY |
| William Shatner | FILM |
| Ralph Senensky | TOS |
| Robert Sparr | TOS |
| Patrick Stewart | TNG |
| Babu Subramaniam | TNG |
| Jud Taylor | TOS |
| Herb Wallerstein | TOS |
| Robert Wiemer | TNG, DS9 |
| Robert Wise | FILM |
