# Biblical Baby Names by Origin (No Meanings Provided)

| Name | Gender | Biblical Figure/Reference | Origin/Language |
| --- | --- | --- | --- |
| Hannah | Girl | Mother of Samuel | Hebrew |
| Micah | Boy | Prophet Micah | Hebrew |
| Naomi | Girl | Ruth’s mother-in-law | Hebrew |
| Silas | Boy | Companion of Paul | Latin/Greek |
| Lydia | Girl | Convert in Philippi | Greek |
| Ezra | Boy | Scribe and priest | Hebrew |
| Deborah | Girl | Judge of Israel | Hebrew |
| Gideon | Boy | Judge of Israel | Hebrew |
| Phoebe | Girl | Deacon mentioned by Paul | Greek |
| Titus | Boy | Recipient of Pauline epistle | Latin |
