# Top Chess Players — Titles and Major Wins (No Ratings)

| Player | Country | Highest Title | World Champion? | World Championship Titles | Candidates Wins | Notable Tournament Wins |
|---|---|---|---|---:|---:|---|
| Magnus Carlsen | Norway | GM | Yes | 5 | 1 | Wijk aan Zee, Norway Chess |
| Garry Kasparov | Russia | GM | Yes | 6 | 2 | Linares, Tilburg |
| Anatoly Karpov | Russia | GM | Yes | 6 | 1 | Linares, Milan |
| Viswanathan Anand | India | GM | Yes | 5 | 1 | Tata Steel, Dortmund |
| Vladimir Kramnik | Russia | GM | Yes | 1 | 1 | Dortmund |
| Bobby Fischer | USA | GM | Yes | 1 | 1 | Interzonal wins |
| José Raúl Capablanca | Cuba | GM | Yes | 1 | 0 | New York 1927 |
| Mikhail Botvinnik | USSR | GM | Yes | 3 | 0 | USSR Championship |
| Alexander Alekhine | France | GM | Yes | 2 | 0 | San Remo 1930 |
