# List of ocean liners
> L

| Ship name | Year launched | Renamed | Fate |
| --- | --- | --- | --- |
| SS L'Atlantique | 1930 | No | Caught fire, and scrapped in 1936 |
| SS La Bourgogne | 1885 | No | Sunk in a collision July 4, 1898 off Sable Island |
| SS La Bretagne | 1885 | Yes (1 different name) | Grounded and wrecked en route to be scrapped in 1923 |
| SS La Touraine | 1890 | No | Scrapped in 1923 |
| RMS Laconia (1911) | 1911 | No | Torpedoed and sunk on February 15, 1917 by the German U-boat U-50 |
| RMS Laconia (1921) | 1921 | No | Torpedoed and sunk on September 12, 1942 by U-156 |
| TSMS Lakonia | 1929 | Yes (2 different names) | Burned in a fire at sea on December 22–24, 1963 and sank while under tow on December 29, 1963 |
| RMS Lancastria | 1920 | Yes (2 different names) | Sunk by an air attack on June 17, 1940 |
| SS Lapland | 1908 | No | Scrapped at Osaka , Japan in 1934 |
| SS Laurentic | 1908 | No | Struck two mines and sank on January 25, 1917 |
| SS Lavia | 1946 | Yes (4 different names) | Caught fire on January 7, 1989 and scrapped 5 months later |
| USS Lejeune | 1936 | Yes (2 different names) | Scrapped at Portland, Oregon on August 16, 1966 |
| SS Leonardo da Vinci (1924) | - | Yes (3 different names) (see: RFA Maine (1924) | - |
| SS Leonardo da Vinci (1960) | 1958 | No | Scrapped in 1982 after a fire in 1980 |
| SS Letitia | 1924 | Yes (3 different names) | Scrapped in 1960 |
| SS Leviathan | 1913 | Yes (2 different names) | Scrapped in 1938 |
| SS Liberte (1950) | - | Yes (2 different names) (see: SS Europa (1928) | - |
| RMS Lucania | 1893 | No | Scrapped after being damaged by a fire at Liverpool on August 14, 1909 |
| SS Lurline | 1932 | Yes (2 different names) | Scrapped in Taiwan in 1987 |
| RMS Lusitania | 1906 | No | Torpedoed and sunk on May 7, 1915 |
