# City Night-Out Budget Sheet (Hourly Limo Rates + Bottle Service + Cover Charges + Taxi Fares)

| Budget Item | Pricing Basis | Typical Cost | Quantity Example | Notes |
| --- | --- | --- | --- | --- |
| Stretch Limo (10 pax) | Per hour | $140–$230/hr | 4 hours | Often 3-hr minimum |
| SUV Limo (14 pax) | Per hour | $170–$280/hr | 4 hours | Peak nights higher |
| Party Bus (25 pax) | Per hour | $210–$360/hr | 4 hours | Includes driver |
| Club cover charge | Per person | $20–$60 | 10 people | Varies by night |
| Bottle service | Per table | $350–$1,200 | 1 table | Venue-dependent |
| Taxi ride home | Per mile | $2.80/mi | 6 miles | Plus tip |
| Ride-share home | Per trip | $15–$55 | 1 trip | Surge possible |
| Gratuity (limo) | Percent | 18–22% | On rental | Sometimes mandatory |
| Cleaning fee (if needed) | Flat fee | $75–$250 | N/A | If excessive mess |
