# Spine MRI CPT Code Reference (by region and contrast)

| MRI Spine Procedure | CPT Code | Contrast | Notes |
| --- | --- | --- | --- |
| MRI Cervical Spine without contrast | 72141 | Without | Cervical spine only |
| MRI Cervical Spine with contrast | 72142 | With | Post-contrast imaging |
| MRI Cervical Spine with and without contrast | 72156 | With & Without | Combined pre/post contrast |
| MRI Thoracic Spine without contrast | 72146 | Without | Thoracic spine only |
| MRI Thoracic Spine with contrast | 72147 | With | Post-contrast imaging |
| MRI Thoracic Spine with and without contrast | 72157 | With & Without | Combined pre/post contrast |
| MRI Lumbar Spine without contrast | 72148 | Without | Lumbar spine only |
| MRI Lumbar Spine with contrast | 72149 | With | Post-contrast imaging |
| MRI Lumbar Spine with and without contrast | 72158 | With & Without | Combined pre/post contrast |
