# Largest Airline Groups by Annual Revenue (FY2023, USD billions)

| Revenue rank | Airline group | Headquarters | Fiscal year | Revenue (USD bn) | Note |
|---:|---|---|---:|---:|---|
| 1 | American Airlines Group | United States | 2023 | 52.8 | Ranked strictly by total operating revenue |
| 2 | Delta Air Lines | United States | 2023 | 58.0 | Includes mainline + regional consolidated revenue |
| 3 | United Airlines Holdings | United States | 2023 | 53.7 | Consolidated airline revenue |
| 4 | Lufthansa Group | Germany | 2023 | 39.4 | Group revenue (passenger + cargo) |
| 5 | International Airlines Group (IAG) | United Kingdom / Spain | 2023 | 32.8 | Includes BA, Iberia, Aer Lingus, Vueling |
| 6 | Air France–KLM Group | France / Netherlands | 2023 | 33.6 | Group revenue across passenger + cargo |
| 7 | Ryanair Holdings | Ireland | 2023 | 13.4 | Low-cost carrier group |
| 8 | easyJet plc | United Kingdom | 2023 | 11.1 | Airline revenue for the group |
| 9 | Qantas Group | Australia | 2023 | 12.7 | Includes Qantas + Jetstar |
| 10 | Emirates Group | United Arab Emirates | 2023 | 33.0 | Group revenue (airline + related services) |
