# School Holidays and Terms (Bulletin Format  Opening Day Announcements)

| Announcement Type | Period | Opening Day |
| --- | --- | --- |
| Term Opening | Autumn Term | Thursday 5 September 2024 |
| Holiday Opening | Autumn Half Term | Saturday 26 October 2024 |
| Term Opening | Autumn Term (resumes) | Monday 4 November 2024 |
| Holiday Opening | Christmas Holidays | Monday 23 December 2024 |
| Term Opening | Spring Term | Tuesday 7 January 2025 |
| Holiday Opening | Spring Half Term | Saturday 15 February 2025 |
| Term Opening | Spring Term (resumes) | Monday 24 February 2025 |
| Holiday Opening | Easter Holidays | Saturday 5 April 2025 |
| Term Opening | Summer Term | Wednesday 23 April 2025 |
| Holiday Opening | Summer Half Term | Saturday 24 May 2025 |
| Term Opening | Summer Term (resumes) | Monday 2 June 2025 |
| Holiday Opening | Summer Holidays | Tuesday 22 July 2025 |
