# Hospital Charge Sheet — MRI Spine (Bundled, No Contrast Breakdown)

| Facility | Service Line | CPT Code | Display Name | Charge (USD) |
| --- | --- | --- | --- | --- |
| Oakwood Downtown | Imaging | 72148 | MRI lumbar spine (standard) | 785 |
| Oakwood Downtown | Imaging | 72158 | MRI lumbar spine (standard) | 1189 |
| Oakwood Downtown | Imaging | 72146 | MRI thoracic spine (standard) | 761 |
| Oakwood Downtown | Imaging | 72157 | MRI thoracic spine (standard) | 1159 |
| Oakwood Downtown | Imaging | 72141 | MRI cervical spine (standard) | 745 |
| Oakwood Downtown | Imaging | 72156 | MRI cervical spine (standard) | 1210 |
| Oakwood Downtown | Imaging | 72195 | MRI sacrum/coccyx (standard) | 770 |
| Oakwood Downtown | Imaging | 72197 | MRI pelvis (listed under spine bundle) | 1165 |
| Oakwood Suburban | Imaging | 72149 | MRI lumbar spine (standard) | 990 |
| Oakwood Suburban | Imaging | 72147 | MRI thoracic spine (standard) | 980 |
