# Pick 4 Lottery — Bet Types, Odds, and Payout Schedule

| Bet type | How it works | Odds per play | Top prize | Typical payout range |
|---|---|---:|---:|---|
| Straight | Exact order of 4 digits | 1 in 10,000 | $5,000 | $4,000–$5,000 |
| Box (24-way) | Any order, all digits different | 1 in 416.67 | $200 | $150–$200 |
| Box (12-way) | One pair + two singles | 1 in 833.33 | $400 | $300–$400 |
| Box (6-way) | Two pairs | 1 in 1,666.67 | $800 | $600–$800 |
| Box (4-way) | Three of a kind + one | 1 in 2,500 | $1,200 | $900–$1,200 |
| Box (4-way) | Four of a kind (AAAA) | 1 in 10,000 | $1,250 | $1,000–$1,250 |
| Straight/Box | Exact order OR any order | 1 in 10,000 (straight) + box odds | Varies | Depends on wager split |
| Combo | Covers all permutations automatically | Same as chosen bet | Varies | Higher cost per play |
| Wager note | Minimum $0.50 | — | — | Higher wager scales payouts |
