# Resident vs Non-Resident Tuition and Required Fees — Lakeshore Community College (2023–2024, Undergraduate)

| Item | In-District / In-State | Out-of-State | Notes |
| --- | ---: | ---: | --- |
| Tuition (per credit hour) | $178 | $356 | Resident vs non-resident rate shown explicitly |
| Non-resident surcharge (per credit hour) | — | $178 | Added to resident base rate |
| Registration fee (per term) | $25 | $25 | Mandatory |
| Student services fee (per credit hour) | $9 | $9 | Mandatory |
| Technology fee (per term) | $40 | $40 | Mandatory |
| Campus safety fee (per term) | $6 | $6 | Mandatory |
| Total mandatory fees for 12 credits | $179 | $179 | Registration + per-credit services + term fees |
| Estimated total for 12 credits (tuition + mandatory fees) | $2,315 | $4,451 | Enables side-by-side comparison |
| Estimated total for 24 credits (two terms) | $4,630 | $8,902 | Excludes room/board, books |
| Tuition & fees summary | Resident: $178/credit + fees | Non-resident: $356/credit + fees | Residency split is explicit |
