# Measured pH by Bottled Water Brand (Including Still vs Sparkling) for Quick Alkaline Neutral Acid Sorting

| Category | Brand / Product | Still/Sparkling | Measured pH | Alkaline/Neutral/Acidic | Brief note |
|---|---|---|---:|---|---|
| Purified | Smartwater | Still | 6.9 | Near neutral | Distilled vapor + added minerals |
| Purified | Essentia | Still | 9.5 | Alkaline | Ionized/alkaline water with electrolytes |
| Spring | Poland Spring | Still | 6.4 | Slightly acidic | Spring water |
| Spring | Evian | Still | 7.2 | Slightly alkaline | Natural spring water |
| Artesian | Fiji | Still | 7.7 | Alkaline | Artesian aquifer |
| Mineral | Gerolsteiner | Sparkling | 5.9 | Acidic | Carbonated mineral water |
| Mineral | Perrier | Sparkling | 5.4 | Acidic | Carbonated mineral water |
| Mineral | VOSS | Still | 7.3 | Slightly alkaline | Artesian source |
| Alkaline (enhanced) | Flow | Still | 8.1 | Alkaline | Naturally alkaline spring water |
| Spring | Icelandic Glacial | Still | 8.3 | Alkaline | Naturally alkaline spring water |
