# Electrical Resistivity and Conductivity of Selected Pure Metals (Approx. 20 °C)

| Material | Category | Electrical resistivity at 20 °C (nΩ·m) | Electrical conductivity at 20 °C (MS/m) | Temperature condition | Notes |
| --- | --- | ---: | ---: | --- | --- |
| Silver (Ag) | Metal (excellent conductor) | 15.9 | 62.9 | 20 °C | Highest conductivity among common metals |
| Copper (Cu) | Metal (excellent conductor) | 16.8 | 59.6 | 20 °C | Widely used for wiring |
| Gold (Au) | Metal (excellent conductor) | 24.4 | 41.0 | 20 °C | Corrosion-resistant conductor |
| Aluminum (Al) | Metal (good conductor) | 28.2 | 35.5 | 20 °C | Low density, common in power lines |
| Tungsten (W) | Metal (moderate conductor) | 52.8 | 18.9 | 20 °C | High melting point |
| Nickel (Ni) | Metal (moderate conductor) | 69.9 | 14.3 | 20 °C | Ferromagnetic metal |
| Iron (Fe) | Metal (moderate conductor) | 96.1 | 10.4 | 20 °C | Conductivity varies with alloying |
| Lead (Pb) | Metal (poor conductor) | 220 | 4.55 | 20 °C | Soft metal, relatively high resistivity |
| Titanium (Ti) | Metal (poor conductor) | 420 | 2.38 | 20 °C | Strong, lightweight, relatively resistive |
