# Biomolecule Functional Motifs  Nitrogen- and Sulfur-Containing Groups in Amino Acids (Side-Chain Focus)

| Amino acid | Side-chain motif | Functional group name | Group formula fragment | Typical pKa (side chain) | Comment |
| --- | --- | --- | --- | --- | --- |
| Lysine | –(CH2)4–NH2 | Primary amine | –NH2 | ~10.5 | Protonated at phys. pH |
| Arginine | –(CH2)3–NHC(=NH)NH2 | Guanidinium | –C(=NH)NH2 | ~12.5 | Strongly basic |
| Histidine | Imidazole ring | Imidazole | C3N2H4 (ring) | ~6.0 | Near neutral pH buffer |
| Cysteine | –CH2–SH | Thiol | –SH | ~8.3 | Forms disulfides |
| Methionine | –CH2–CH2–S–CH3 | Thioether | –S– | (none) | Nonpolar sulfur |
| Asparagine | –CH2–CONH2 | Amide (N-centered) | –CONH2 | (none) | H-bond donor/acceptor |
| Glutamine | –(CH2)2–CONH2 | Amide (N-centered) | –CONH2 | (none) | Polar side chain |
| Tryptophan | Indole ring | Indole (N-heterocycle) | C8H6N (ring) | (none) | Aromatic |
| Proline | Pyrrolidine ring | Secondary amine | –NH– (in ring) | ~10.6 | Conformational constraint |
