# Crustal Composition by Mineral Groups (Not Elemental Abundance)

| Mineral group | Representative minerals | Approx. share of crust (wt%) | Dominant elements | Notes |
|---|---|---:|---|---|
| Feldspars | Plagioclase, K-feldspar | 50 | O, Si, Al, Na, K, Ca | Most abundant mineral group |
| Quartz | Quartz | 12 | O, Si | Common in continental crust |
| Pyroxenes | Augite, Enstatite | 11 | O, Si, Mg, Fe, Ca | Higher in mafic crust |
| Amphiboles | Hornblende | 5 | O, Si, Mg, Fe, Ca, Al | Hydrous minerals |
| Micas | Biotite, Muscovite | 5 | O, Si, Al, K, Mg, Fe | Sheet silicates |
| Clay minerals | Kaolinite, Illite | 5 | O, Si, Al, K | Important in sediments |
| Carbonates | Calcite, Dolomite | 2 | O, C, Ca, Mg | Mostly sedimentary |
| Oxides | Magnetite, Hematite | 1 | O, Fe | Minor but important |
| Others | Apatite, Zircon, etc. | 9 | various | Accessory minerals |
