# Inorganic Ligands with Formula, Charge, and Cone Angle (Steric Parameters)

| Ligand | Formula (common notation) | Ligand charge | Tolman cone angle (°) |
| --- | --- | --- | --- |
| Chloride | Cl− | −1 | — |
| Bromide | Br− | −1 | — |
| Iodide | I− | −1 | — |
| Hydroxide | OH− | −1 | — |
| Cyanide | CN− | −1 | — |
| Carbonyl | CO | 0 | — |
| Triphenylphosphine | PPh3 | 0 | 145 |
| Trimethylphosphine | PMe3 | 0 | 118 |
| Trifluorophosphine | PF3 | 0 | 104 |
| Phosphine | PH3 | 0 | 87 |
| Dimethylphenylphosphine | PMe2Ph | 0 | 136 |
