# Common Antibiotic Regimens for Acute and Chronic Bacterial Prostatitis (Adult) — Typical Oral Dosing Schedules

| Clinical scenario | Antibiotic (generic) | Typical dose strength | Schedule | Typical duration | Notes |
| --- | --- | --- | --- | --- | --- |
| Acute bacterial prostatitis (outpatient, mild–moderate) | Ciprofloxacin | 500 mg | PO twice daily | 10–14 days | Consider step-down from initial IV if improving; adjust for renal function |
| Acute bacterial prostatitis (outpatient, mild–moderate) | Levofloxacin | 500–750 mg | PO once daily | 10–14 days | Avoid if high local fluoroquinolone resistance |
| Acute bacterial prostatitis (outpatient alternative) | Trimethoprim-sulfamethoxazole (DS) | 160/800 mg | PO twice daily | 14 days | Use if pathogen susceptible; monitor for rash/hyperkalemia |
| Acute bacterial prostatitis (suspected STI-related pathogen) | Doxycycline | 100 mg | PO twice daily | 10–14 days | Often used when Chlamydia is suspected |
| Chronic bacterial prostatitis | Ciprofloxacin | 500 mg | PO twice daily | 4–6 weeks | Longer course commonly required for symptom eradication |
| Chronic bacterial prostatitis | Levofloxacin | 500 mg | PO once daily | 4–6 weeks | Alternative fluoroquinolone regimen |
| Chronic bacterial prostatitis (alternative when susceptible) | Trimethoprim-sulfamethoxazole (DS) | 160/800 mg | PO twice daily | 4–6 weeks | May be used when fluoroquinolones not suitable |
| Chronic bacterial prostatitis (alternative) | Doxycycline | 100 mg | PO twice daily | 4–6 weeks | Consider in select organisms; not for nonbacterial prostatitis |
| Chronic bacterial prostatitis (macrolide option in select cases) | Azithromycin | 500 mg | PO once daily | 7–14 days | Used in selected atypical/STI contexts; not a universal first-line |
| Refractory/relapsing chronic bacterial prostatitis (specialist-directed) | Fosfomycin tromethamine | 3 g sachet | PO every 48–72 hours | 2–6 weeks | Intermittent dosing used in some protocols; culture-directed recommended |
