# List of governors of Mizoram
> Before statehood

| # | Name | Took Office | Left Office |
| --- | --- | --- | --- |
| 1 | Braj Kumar Nehru | 1 April 1970 | September. 1973 |
| 2 | Lallan Prasad Singh | September 1973 | 10 August 1981 |
| 3 | Prakash Chandra Mehrotra | 11 August 1981 | 28 March 1984 |
| 4 | Tribeni Sahai Misra | 29 March 1984 | 15 April 1984 |
| 5 | Bhishma Narain Singh | 16 April 1984 | 10 May 1989 |
| 6 | Harideo Joshi | 11 May 1989 | 26 July 1989 |
| 7 | Abubakar Abdul Rahim | 27 July 1989 | 8 May 1990 |
| 8 | Madhukar Dighe | 9 May 1990 | 18 June 1995 |
| 9 | M. M. Jacob | 19 June 1995 | 11 April 2007 |
| 10 | Banwari Lal Joshi | 12 April 2007 | 28 October 2007 |
| 11 | Shivinder Singh Sidhu | 29 October 2007 | 30 June 2008 |
| 12 | Ranjit Shekhar Mooshahary | 1 July 2008 | 30 June 2013 |
| 13 | Krishan Kant Paul | 1 July 2013 | 6 January 2015 |
| 14 | Keshari Nath Tripathi | 6 January 2015 [1] | 19 May 2015 |
| 15 | V. Shanmuganathan | 20 May 2015 [2] | Incumbent |
| # | Name | Took Office | Left Office |
| 1 | S.P.Mukherjee | 24 April 1972 | 12 June 1974 |
| 2 | S.K.Chibber | 13 June 1974 | 26 September 1977 |
| 3 | N.P.Mathur | 27 September 1977 | 15 April 1981 |
| 4 | S.N. Kohli | 16 April 1981 | 9 August 1983 |
| 5 | H.S.Dubey | 10 August 1983 | 10 December 1986 |
| 6 | Hiteswar Saikia | 11 December 1986 | 19 February 1987 |
