# Zero-Preferential vs Preferential State Treatment of Capital Gains (Quick State Rate Context)

| Category | State | Short-Term Capital Gains | Long-Term Capital Gains | Effective Rate Context | Notes |
| --- | --- | --- | --- | --- | --- |
| No state income tax | Nevada | 0% | 0% | 0% | No state income tax |
| No state income tax | Wyoming | 0% | 0% | 0% | No state income tax |
| No state income tax | South Dakota | 0% | 0% | 0% | No state income tax |
| No state income tax | Alaska | 0% | 0% | 0% | No state income tax (local taxes may exist) |
| No state income tax | Tennessee | 0% | 0% | 0% | Hall tax repealed; no tax on investment income now |
| Preferential long-term deduction | Arizona | Taxed as ordinary income (up to 2.5%) | Taxed as ordinary income less partial exclusion (up to 2.5% before exclusion) | Lower effective rate for qualifying AZ long-term gains | Long-term gains may qualify for a state subtraction/deduction |
| Preferential long-term exclusion | New Mexico | Taxed as ordinary income (top rate varies by bracket) | Partial exclusion available for eligible gains | Lower effective rate when exclusion applies | Eligibility rules and caps can apply |
| Preferential long-term subtraction | North Dakota | Taxed as ordinary income (top rate varies) | Partial subtraction available for qualifying gains | Reduced effective rate for eligible gains | Often tied to holding period/qualified gain definition |
| Preferential long-term deduction | Montana | Taxed as ordinary income (top rate varies) | Reduced effective rate via capital gains credit/deduction | Long-term gains can be effectively taxed below ordinary income | State-specific credit mechanics |
| No broad preference (ordinary income) | Virginia | Same as ordinary income (flat 5.75%) | Same as ordinary income (flat 5.75%) | No preference | Included to contrast with preference states |
