# University of Michigan (Ann Arbor) — Average Salaries by Degree Major (Typical Pay)

| Degree/Major Subject (University of Michigan) | Average Salary (USD) | Notes |
| --- | ---: | --- |
| Bachelor of Business Administration (BBA), Finance | $88,500 | Typical alumni-reported pay |
| Bachelor of Science (BS), Computer Engineering | $103,200 | Typical alumni-reported pay |
| Bachelor of Science (BS), Nursing | $79,400 | Typical alumni-reported pay |
| Bachelor of Arts (BA), Psychology | $56,800 | Typical alumni-reported pay |
| Bachelor of Science (BS), Data Science | $98,600 | Typical alumni-reported pay |
| Master of Public Health (MPH) | $76,300 | Typical alumni-reported pay |
| Master of Science (MS), Information | $95,700 | Typical alumni-reported pay |
| Master of Social Work (MSW) | $62,900 | Typical alumni-reported pay |
| Doctor of Philosophy (PhD), Chemistry | $92,100 | Typical alumni-reported pay |
