# Acidity Alkalinity Table for Bottled Waters (Quality Label Column Dominates)

| Brand or Type | Water Type | pH | Quality Label (Good/Bad) | Rationale |
|---|---|---:|---|---|
| Absopure Michigan | Spring, ozonated/UV | 7.5 | Good | Over 7 is considered better |
| Scottish National | Mineral | 7.4 | Good | Alkaline-leaning |
| Penta | Micro-ionized | 6.7 | Bad | Below neutral |
| Smartwater | Distilled + minerals | 7.0 | Good | Neutral is acceptable |
| Perrier | Mineral (sparkling) | 5.3 | Bad | Carbonation increases acidity |
| S. Pellegrino | Mineral (sparkling) | 5.4 | Bad | Acidic profile |
| Propel Fitness Water | Processed | 3.4 | Bad | Very acidic |
| Acqua Panna | Spring | 8.2 | Good | High pH |
| Evamor | Artesian | 8.0 | Good | Alkaline |
| Poland Spring | Spring | 6.3 | Bad | Slightly acidic |
