# City-Level PIN Code Directory for Major Indian Cities (No Neighborhood Locality Breakdown)

| City | District | State | Main City PIN (GPO/HPO) | Category | Notes |
| --- | --- | --- | --- | --- | --- |
| Ahmedabad | Ahmedabad | Gujarat | 380001 | GPO | City-only reference |
| Lucknow | Lucknow | Uttar Pradesh | 226001 | GPO | Lacks locality mapping |
| Gurugram | Gurugram | Haryana | 122001 | HPO | Only one code shown |
| Coimbatore | Coimbatore | Tamil Nadu | 641001 | HPO | Not neighborhood-specific |
| Ujjain | Ujjain | Madhya Pradesh | 456001 | HPO | Too coarse |
| Jorhat | Jorhat | Assam | 785001 | HPO | City-level only |
| Jaipur | Jaipur | Rajasthan | 302001 | GPO | Not area-by-area |
| Patna | Patna | Bihar | 800001 | GPO | No sub-localities |
| Pune | Pune | Maharashtra | 411001 | GPO | Missing precise areas |
