# Normal Blood Pressure Ranges by Age (Adults and Children)

| Age band | Typical systolic range (mm Hg) | Typical diastolic range (mm Hg) | Notes |
| --- | --- | --- | --- |
| Newborn (0–1 mo) | 60–90 | 20–60 | Pediatric reference range |
| Infant (1–12 mo) | 75–105 | 35–70 | Pediatric reference range |
| Child (1–5 yr) | 80–110 | 45–80 | Pediatric reference range |
| Child (6–12 yr) | 85–120 | 50–80 | Pediatric reference range |
| Teen (13–17 yr) | 95–140 | 60–90 | Pediatric/adolescent range |
| Adult (18–39 yr) | 95–135 | 60–85 | Broad “typical” band |
| Adult (40–59 yr) | 105–145 | 65–90 | Broad “typical” band |
| Older adult (60+ yr) | 110–155 | 65–95 | Broad “typical” band |
| Notes | — | — | Not a category-based chart |
