# Octahedral Complexes  Isomer Counts by Ligand Formula

| Complex formula pattern | Coordination number | Typical geometry | Number of geometric isomers | Number of optical isomer pairs | Example |
| --- | --- | --- | --- | --- | --- |
| ML6 | 6 | Octahedral | 1 | 0 | [Co(NH3)6]3+ |
| ML5X | 6 | Octahedral | 1 | 0 | [Co(NH3)5Cl]2+ |
| ML4X2 (cis/trans) | 6 | Octahedral | 2 | 0 | [Co(NH3)4Cl2]+ |
| ML3X3 (fac/mer) | 6 | Octahedral | 2 | 0 | [Co(NH3)3Cl3] |
| ML4XY | 6 | Octahedral | 2 | 0 | [Co(NH3)4ClBr]+ |
| ML2X2Y2 | 6 | Octahedral | 3 | 0 | [Co(NH3)2Cl2Br2]- |
| ML3X2Y | 6 | Octahedral | 3 | 0 | [Co(NH3)3Cl2Br] |
| MXYZUVW | 6 | Octahedral | 15 (max) | varies | Mixed-ligand complex |
| ML2X2YZ | 6 | Octahedral | 6 | 1 (sometimes) | Chiral cases possible |
