# Europe
> See also

| Rank | Country | GDP (PPP per capita, 2014) in USD |
| --- | --- | --- |
| 1 | Norway | 64 893 |
| 2 | Ireland | 47 804 |
| 3 | Netherlands | 47 130 |
| 4 | Austria | 46 164 |
| 5 | Germany | 45 615 |
| 6 | Sweden | 45 143 |
| 7 | Denmark | 44 862 |
| 8 | Iceland | 43 392 |
| 9 | Belgium | 42 725 |
| 10 | Finland | 39 754 |
| Politics Eurodistrict Euroregion Flags of Europe List of sovereign states by date of formation Names of European cities in different languages OSCE countries statistics European Union as a potential superpower | Demographics Area and population of European countries European Union statistics Largest cities of the EU Largest urban areas of the European Union List of cities in Europe List of metropolitan areas in Europe List of villages in Europe Pan-European identity | Economics Economy of the European Union Financial and social rankings of European countries Healthcare in Europe Telecommunications in Europe List of European television stations List of European countries by GDP (nominal) |
