# Colleges and Typical Admitted GPA Benchmarks (GPA-Focused Comparison Table)

| College | Typical Admitted HS GPA (Avg) | Chance Indicator | GPA Context |
| --- | ---: | --- | --- |
| California State University, Long Beach | 3.7 | Match | Popular majors often higher |
| California State University, Fullerton | 3.6 | Likely | Local preference can apply |
| University of Nevada, Reno | 3.4 | Likely | Many applicants admitted with mid-3s |
| University of New Mexico | 3.5 | Likely | Holistic review at some programs |
| University of Kansas | 3.4 | Likely | Automatic-admit style thresholds may exist |
| Iowa State University | 3.5 | Likely | Engineering may trend higher |
| University of Kentucky | 3.5 | Likely | Some programs have added requirements |
| University of Oklahoma | 3.5 | Likely | Competitive scholarships may require higher GPA |
| Oregon State University | 3.6 | Match | STEM programs can be more competitive |
| University of South Florida | 3.8 | Reach | Urban flagship; applicant pool trending higher |
| University of Central Florida | 3.9 | Reach | Large applicant volume; GPA tends higher |
| Florida State University | 4.0 | Reach | Selectivity higher for out-of-state |
