# Temperature Effect  Specific Gravity (SG) of Selected Liquids at Multiple Temperatures

| Liquid | SG @ 0°C | SG @ 20°C | SG @ 40°C | Notes |
|---|---:|---:|---:|---|
| Water (reference) | 1.000 | 0.998 | 0.992 | SG shown relative to water at same temperature (approx.) |
| Ethanol | 0.806 | 0.789 | 0.772 | Decreases with temperature |
| Methanol | 0.810 | 0.792 | 0.777 | Decreases with temperature |
| Acetone | 0.806 | 0.791 | 0.776 | Decreases with temperature |
| Glycerol (glycerin) | 1.28 | 1.26 | 1.24 | Still > 1 across these temperatures |
| Propylene glycol | 1.05 | 1.04 | 1.03 | Common heat-transfer fluid component |
| Diesel fuel (typical) | 0.86 | 0.84 | 0.82 | Typical range; varies by blend |
| Kerosene | 0.83 | 0.81 | 0.79 | Typical range |
| Seawater (typical) | 1.028 | 1.025 | 1.020 | Depends strongly on salinity |
| Sulfuric acid (approx. 98% w/w) | 1.86 | 1.84 | 1.82 | Concentration-dependent |
| Hydrochloric acid (approx. 30% w/w) | 1.16 | 1.15 | 1.13 | Concentration-dependent |
