# Irish Census Surnames by County (Household Counts Only)

| County | Surname | Households (1901) | Households (1911) | Notes |
|---|---|---:|---:|---|
| Mayo | Duffy | 412 | 398 | Rural concentration |
| Mayo | Horan | 155 | 162 | Often found in parish registers |
| Longford | Farrell | 201 | 214 | Multiple unrelated lines |
| Longford | Dowd | 77 | 73 | Spelling variants common |
| Galway | Kelly | 533 | 519 | Widely distributed |
| Cork | O'Sullivan | 621 | 607 | Strong in west Cork |
| Dublin | Walsh | 488 | 502 | Urban migration evident |
| Clare | Ryan | 265 | 271 | Often mis-indexed as Rian |
| Limerick | Byrne | 118 | 124 | Sometimes recorded as O'Byrne |
