# Ayub Khan - Din
> Selected filmography

| Year | Title | Role | Notes |
| --- | --- | --- | --- |
| 1985 | My Beautiful Laundrette | Student as (Ayub Khan Din) | A Hanif Kureishi film directed by Stephen Frears |
| 1987 | Sammy and Rosie Get Laid | Sammy | A Hanif Kureishi film directed by Stephen Frears |
| 1987 | My Family and Other Animals |  | BBC television series (1 episode) |
| 1988 | Young Toscanini | Comparsa | A Italian-French English-language biographical film directed by Franco Zeffirelli |
| 1988 | The Bill | Rashid (as Ayub Khan Din) | ITV television series (1 episode "Tigers") |
| 1989 | Shalom Salaam | Hafiz Sattar | BBC TV (mini series) (5 episodes) |
| 1989 | Capital City | Luke | By Euston Films / Thames Television (1 episode) |
| 1989 | Boon | Foreign Student | By Central Independent Television ( 1 episode: "In it for the Monet") |
| 1990 | The Care of Time | Nahari | TV film |
| 1991 | Doctor at the Top | Dr. Anand | BBC television comedy series ( 1 episode "Bye Bye, Bickerstaff") |
| 1991 | Lebewohl, Fremde | Sehrat | German Film Tevfik Başer screened at the Cannes Film Festival |
| 1992 | Idiot | Myshkin | A Hindi film based on Fyodor Dostoevsky 's novel, The Idiot was directed by Mani Kaul and starred Shah Rukh Khan and Ayub Khan-Din. |
| 1992 | KYTV |  | BBC TV Comedy series (1 episode, "God Alone Knows") |
| 1992-93 | Coronation Street | Hanif Ruparell | ITV Soap opera (19 episodes) |
| 1993 | The Burning Season | Patwant (Pat) | A Canadian/Indian Film |
| 1994 | Agatha Christie's Poirot | Horbury | Hercule Poirot's Christmas (1 episode) |
| 1994-95 | The Chief | Councillor Mani Shankar | An AngliaTelevision production ( 7 episodes) |
| 1995 | Backup | Ali | BBC TV series ( 1 episode "Toleration Zone") |
| 1995 | Dangerfield | Kevin Deehan | BBC TV series ( 1 episode "The Dead Businessman") |
| 1996 | London Bridge | Ravi Shah | Carlton Television series (19 episodes) |
