# Celebrity Rehab with Dr. Drew
> Season 3

| Cast member | Notability | Addiction |
| --- | --- | --- |
| Lisa D'Amato | Model and electronic rock musician [73] | Alcohol; [74] [75] marijuana ; amphetamines ; cocaine ; mushrooms [75] |
| Heidi Fleiss | Former American madam [73] | Methamphetamine ; [74] [75] Valium ; Xanax ; Vicodin (Fleiss states that she is coming off a prescription for Suboxone .) [75] |
| Joey Kovar | Cast member on The Real World: Hollywood [73] | Alcohol; cocaine; ecstasy ; [74] [75] [76] methamphetamine; steroids [74] |
| Mindy McCready | Country music singer [73] | OxyContin ; alcohol; [74] [75] (McCready states that she takes prescription Xanax for anxiety as needed, and that the painkillers found among her belongings during Intake were for her shoulder, which was dislocated a month prior. [75] ) |
| Kari Ann Peniche | Miss Teen USA 2002 and subject of a Playboy pictorial [73] | Methamphetamine [77] |
| Mackenzie Phillips | Actress [73] | Heroin; cocaine [74] [75] (Formerly used marijuana. [75] ) |
| Dennis Rodman | Former basketball player [73] | Alcohol [74] [75] |
| Tom Sizemore | Actor [78] | Opiates ; benzodiazepines ; methamphetamine; [79] marijuana; [77] [79] heroin; Klonopin (formerly used cocaine from 1991–1996) [77] |
| Mike Starr | Former Alice in Chains bass player [73] | Heroin; methadone ; methamphetamine; cocaine; marijuana. [74] [75] |
