# Major Elemental Composition of the Earth's Continental Crust (Weight %)

| Category | Element | Symbol | Abundance (wt %) |
| --- | --- | --- | ---: |
| Major elements | Oxygen | O | 46.6 |
| Major elements | Silicon | Si | 27.7 |
| Major elements | Aluminum | Al | 8.1 |
| Major elements | Iron | Fe | 5.0 |
| Minor major elements | Calcium | Ca | 3.6 |
| Minor major elements | Sodium | Na | 2.8 |
| Minor major elements | Potassium | K | 2.6 |
| Minor major elements | Magnesium | Mg | 2.1 |
| Other notable elements | Titanium | Ti | 0.44 |
| Other notable elements | Hydrogen | H | 0.14 |
| Other notable elements | Phosphorus | P | 0.12 |
| Other notable elements | Manganese | Mn | 0.10 |
| Other notable elements | Carbon | C | 0.02 |
