# Plant List with Growth Specs Only (Deer Resistance Missing)

| Plant (Common Name) | Latin Name | Category | Mature Height | Sun | Water Needs |
| --- | --- | --- | --- | --- | --- |
| Bearded Iris | Iris germanica | Perennial | 24–36 in | Full sun | Low–Medium |
| Sedum (Stonecrop) | Hylotelephium spectabile | Perennial | 18–24 in | Full sun | Low |
| Ninebark | Physocarpus opulifolius | Shrub | 5–8 ft | Full sun–Part shade | Medium |
| Blue Fescue | Festuca glauca | Ornamental grass | 10–14 in | Full sun | Low |
| Smoke Tree | Cotinus coggygria | Shrub/Small tree | 10–15 ft | Full sun | Medium |
| Peony | Paeonia lactiflora | Perennial | 24–36 in | Full sun | Medium |
| Allium (Ornamental Onion) | Allium spp. | Bulb | 12–48 in | Full sun | Low |
| Salvia (Meadow Sage) | Salvia nemorosa | Perennial | 18–24 in | Full sun | Low–Medium |
| Holly | Ilex aquifolium | Shrub/Tree | 10–30 ft | Full sun–Part shade | Medium |
| Spirea | Spiraea japonica | Shrub | 2–4 ft | Full sun | Medium |
