# Prepositions with Required Article Pronoun Patterns (Case Selector)

| Preposition | Required Case | Common Contraction | Definite Article Pattern | Example with Pronoun |
| --- | --- | --- | --- | --- |
| an | Dative/Accusative (two-way) | am / ans | dem / den | an mir / an mich |
| in | Dative/Accusative (two-way) | im / ins | dem / den | in mir / in mich |
| auf | Dative/Accusative (two-way) | aufs (colloq.) | dem / den | auf mir / auf mich |
| unter | Dative/Accusative (two-way) | unterm (colloq.) | dem / den | unter mir / unter mich |
| über | Dative/Accusative (two-way) | übers (colloq.) | dem / den | über mir / über mich |
| bei | Dative | beim | dem | bei mir |
| zu | Dative | zum / zur | dem / der | zu mir |
| von | Dative | vom | dem | von mir |
| wegen | Genitive (often Dative in speech) | (—) | des / der | wegen meiner |
