# Super Smash Bros. Melee Unlockables  Stages, Items, and Event Rewards

| Reward | Reward Type | Trigger Condition | Mode | Comment |
| --- | --- | --- | --- | --- |
| Final Destination | Stage | Clear Event Match 51 | Event Match | Iconic stage unlock |
| Brinstar Depths | Stage | Play 50 VS matches | VS | Stage, not a fighter |
| Green Greens | Stage | Clear the 15-Minute Melee | Special Melee | Stage unlock |
| Item Switch: Poke Balls | Item | Clear Classic Mode | Classic | Item availability setting |
| Trophy: Birdo | Trophy | Break the Targets with 10 characters | Single-Player | Collectible reward |
| Trophy: Celebi | Trophy | See Celebi appear from a Poké Ball | VS | Random condition |
| Sound Test: "Flat Zone" | Music | Clear All-Star | All-Star | Audio gallery unlock |
| Event Match Set 2 | Mode/Feature | Clear Event Match 10 | Event Match | Additional events |
| Home-Run Contest | Mode | Clear Target Test once | Single-Player | Mini-game access |
| Trophy Lottery | Feature | Collect 100 trophies | Collection | Utility unlock |
