# Diablo III (2012) — Voice Cast (Actor–Role) — Cast-Only Listing

| Actor | Character / Role | Notes |
|---|---|---|
| Athena Karkanis | Barbarian (Female) | voice |
| Robin Atkin Downes | Demon Hunter (Male) | voice |
| Anna Graves | Demon Hunter (Female) | voice |
| Jamieson Price | Monk (Male) | voice |
| Rajia Baroudi | Monk (Female) | voice |
| Crispin Freeman | Wizard (Male) | voice |
| Jennifer Hale | Wizard (Female) | voice |
| Michael Gough | Deckard Cain | voice |
| Azita Ghanizada | Leah | voice |
