# SEC Football Legends
> SEC Legends honorees

| Year | Alabama | Arkansas | Auburn | LSU | Ole Miss | Mississippi St. | Texas A&M |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1994 | Lee Roy Jordan | Lance Alworth | Tracy Rocker | Jim Taylor | Charlie Conerly | Johnny Baker | - |
| 1995 | Harry Gilmer | Joe Ferguson | Tucker Frederickson | Dalton Hilliard | Barney Poole | Jimmy Webb | - |
| 1996 | Billy Neighbors | Chuck Dicus | Joe Cribbs | Billy Cannon | Johnny Vaught | Hunter Corhern | - |
| 1997 | John Hannah | Jim Benton | Zeke Smith | Charles Alexander | John "Kayo" Dottley | Steve Freeman | - |
| 1998 | Holt Rast | Clyde Scott | Pat Sullivan | Bert Jones | Archie Manning | Johnie Cooks | - |
| 1999 | Johnny Musso | Bill Montgomery | Jackie Burkett | Jerry Stovall | Charlie Flowers | D. D. Lewis | - |
| 2000 | Dwight Stephenson | Ronnie Caveness | Stacy Danley | Roy Winston | Robert Khayat | Kent Hull | - |
| 2001 | Joe Namath | Steve Atwater | Mike Kolen | Tommy Hodson | Ray Poole | Rockey Felker | - |
| 2002 | Vaughn Mancha | Loyd Phillips | Terry Beasley | Mike Anderson | Ben Williams | Harper Davis | - |
| 2003 | Jeremiah Castille | Wayne Harris | Steve Wallace | Wendell Davis | Billy Ray Adams | Tyrone Keys | - |
| 2004 | Bob Baumhower | Fred Marshall | Jimmy "Red" Phillips | Paul Dietzel | Allen Brown | Art Davis | - |
| 2005 [2] | Cornelius Bennett | Quinn Grovey | Ed Dyas | Eric Martin | Andre Townsend | Joe Fortunato | - |
| 2006 [3] | Steve Sloan | Cliff Powell | Bo Jackson | Y. A. Tittle | Jake Gibbs | Wayne Harris | - |
| 2007 | Ken Stabler | Ken Hatfield | Ken Rice | Tommy Casanova | Wesley Walls | Billy Jackson | - |
| 2008 | Bart Starr | Billy Ray Smith, Jr. | Al Del Greco | Lance Smith | Bobby Ray Franklin | Tom Goode | - |
| 2009 | Antonio Langham | Gary Anderson | Quentin Riggins | Michael Brooks | Jimmy Lear | Billy Stacy | - |
| 2010 | Cornelius Griffin | Frank Broyles | Gregg Carr | Fred Miller | Everett Lindsay | Eric Moulds | - |
| 2011 [4] | Dennis Homan | Leotis Harris | J. D. "Buddy" McClinton | George Bevan | Deuce McAllister | Tom Neville | - |
| 2012 [5] | Paul Crane | Pat Summerall | James C. Owens | Kevin Mawae | Glynn Griffing | Walt Harris | John David Crow |
| 2013 [6] | Marty Lyons | Wayne Martin | Frank Sanders | Kevin Faulk | Jeff Herrod | Glen Collins | Dat Nguyen |
| 2014 | Bobby Humphrey | Jerry Lamb | Carnell "Cadillac" Williams | Doug Moreau | Stan Hindman | Fred Smoot | Jacob Green |
| 2015 | Woodrow Lowe | Madre Hill | Takeo Spikes | Alan Faneca | Ken Lucas | Mario Haggan | Bubba Bean |
