# LGBT Characters in Screen Media (Grouped by Title)

| Title | Format | Orientation/Gender identity (multiple) | Characters (multiple) |
| --- | --- | --- | --- |
| Capote | Film | Gay | Truman Capote |
| Infamous | Film | Gay | Truman Capote |
| Seed of Chucky | Film | Transgender, Non-binary | Glen/Glenda Ray, Glen's therapist |
| Miller's Crossing | Film | Gay | Mink Larouie, Eddie Dane |
| The Bubble | Film | Gay | Yali, Noam |
| Trick | Film | Gay, Bisexual | Gabriel, Mark |
| Arisan! | Film | Gay | Sakti, Nino |
| Scott Pilgrim vs. the World | Film | Lesbian, Gay | Roxanne "Roxy" Richter, Wallace Wells |
| The Sergeant | Film | Gay | Albert Callan |
| Breakfast with Scot | Film | Gay | Sam, Scot's uncle |
