# CSI  Miami —  Deadline  (2004) Full Credits (Cast + Departments)

| Department | Person | Credit / Character | Episodes |
|---|---|---|---|
| Cast | David Caruso | Lieutenant Horatio Caine | 1 |
| Cast | Emily Procter | Calleigh Duquesne | 1 |
| Cast | Rory Cochrane | Tim Speedle | 1 |
| Cast | Khandi Alexander | Dr. Alexx Woods | 1 |
| Cast | Adam Rodriguez | Eric Delko | 1 |
| Directing | Scott Brazil | Director | 1 |
| Writing | Ann Donahue | Writer | 1 |
| Production | Anthony E. Zuiker | Executive Producer | 1 |
| Camera | Charles Mills | Director of Photography | 1 |
| Sound | Thomas J. Huth | Sound Mixer | 1 |
