# Starlight Harbor (2019) — Official Soundtrack Track List

| Track No. | Track title | Performer/Artist | Film placement (scene) |
| --- | --- | --- | --- |
| 1 | Opening Credits (Starlight Harbor Theme) | The Harbor Orchestra | Main titles over aerial shots of the coastline |
| 2 | Run to the Water | Lila Grey | Mia bikes to the marina at sunrise |
| 3 | Lanterns on the Pier | The Driftlines | Night walk along the pier before the festival |
| 4 | Paper Boats | Jun Park | Montage of repairing the old sailboat |
| 5 | If You Stay | Anya Rivera | Balcony conversation after the argument |
| 6 | Salt in the Air | Coast & Current | Beach party dance sequence |
| 7 | Storm Warning | The Harbor Orchestra | Underscore during the sudden squall |
| 8 | Home Again (Reprise) | Lila Grey | Final scene as the boat returns to the harbor |
| 9 | Credits Song: Keep the Light On | The Driftlines | End credits |
