# LINDOR Assorted Bag Contents  Dark and Non-Dark Variant Breakdown

| Bag/Assortment | Variant | Wrapper identifier | Cocoa style | Short flavour description | Typical availability |
|---|---|---|---|---|---|
| Dark Assorted | Extra Dark 60% | Black | Dark | Bold dark shell with rich center | Year-round |
| Dark Assorted | Dark Chocolate | Blue | Dark | Smooth dark truffle | Year-round |
| Dark Assorted | Dark Mint | Black/Green | Dark | Dark chocolate with cool mint | Seasonal/limited |
| Classic Assorted | Milk Chocolate | Red | Milk | Creamy milk center | Year-round |
| Classic Assorted | White Chocolate | White | White | Sweet white center | Year-round |
| Classic Assorted | Caramel | Beige | Milk | Caramel truffle center | Year-round |
| Classic Assorted | Strawberries & Cream | Silver/Pink | Milk | Fruity cream center | Seasonal |
| Classic Assorted | Hazelnut | Gold | Milk | Nutty praline-like center | Year-round |
| Seasonal Assorted | Peppermint Cookie | Red/Green | Milk | Cookie-mint notes | Holiday |
| Seasonal Assorted | Neapolitan | Pink/White/Brown | Mixed | Layered strawberry/vanilla/chocolate style | Seasonal |
