# Chicago, Illinois City Salary Averages by Job (typical pay by role within one city)

| Job Role | Typical Annual Pay (Chicago, IL) | Pay Basis | Notes |
| --- | ---: | --- | --- |
| Accountant | $66,900 | Annual | Typical base pay |
| Business Analyst | $82,450 | Annual | Typical base pay |
| Software Developer | $114,780 | Annual | Typical base pay |
| Network Engineer | $92,360 | Annual | Typical base pay |
| Product Manager | $128,540 | Annual | Typical base pay |
| Registered Nurse (RN) | $81,230 | Annual | Typical base pay |
| Graphic Designer | $56,410 | Annual | Typical base pay |
| Customer Service Representative | $43,980 | Annual | Typical base pay |
| Operations Manager | $97,120 | Annual | Typical base pay |
| Warehouse Supervisor | $62,770 | Annual | Typical base pay |
