# United States Senators by Congress (Sample Roster) with Party Labels

| Congress | Senator | State | Party | Notes |
|---|---|---|---|---|
| 117th | Chuck Schumer | New York | Democratic | Majority Leader |
| 117th | Mitch McConnell | Kentucky | Republican | Minority Leader |
| 117th | Susan Collins | Maine | Republican | Moderate GOP |
| 117th | Joe Manchin | West Virginia | Democratic | Centrist Dem |
| 117th | Lisa Murkowski | Alaska | Republican | Often cross-pressured |
| 117th | Bernie Sanders | Vermont | Independent | Caucuses with Democrats |
| 116th | Mitch McConnell | Kentucky | Republican | Majority Leader |
| 116th | Chuck Schumer | New York | Democratic | Minority Leader |
| 116th | Kyrsten Sinema | Arizona | Democratic | Elected as Democrat |
| 116th | Angus King | Maine | Independent | Caucuses with Democrats |
