# Alkaline vs. Acidic Bottled Water Brands (Brand-by-Brand pH Comparison)

| Brand | pH | Category (by pH) | Type | Packaging/Notes |
| --- | ---: | --- | --- | --- |
| Essentia | 9.5 | Alkaline | Purified + electrolytes | Ionized; marketed as high pH |
| Evamor | 8.0 | Alkaline | Artesian | Naturally alkaline artesian source |
| Core Hydration | 7.4 | Slightly alkaline | Purified | Balanced minerals for taste |
| Icelandic Glacial | 8.4 | Alkaline | Spring | Naturally high pH spring |
| Acqua Panna | 8.2 | Alkaline | Spring | Still mineral water |
| VOSS | 7.3 | Slightly alkaline | Artesian | Clean, low-mineral profile |
| Poland Spring | 6.3 | Slightly acidic | Spring | Common U.S. spring brand |
| Arrowhead | 6.7 | Slightly acidic | Spring | Near-neutral to mildly acidic |
| Aquafina | 5.8 | Acidic | Purified | RO-treated; often lower pH |
| Dasani | 5.6 | Acidic | Purified | Minerals added; still acidic |
| Perrier | 5.3 | Acidic | Sparkling mineral | Carbonation increases acidity |
| Vitaminwater | 3.9 | Very acidic | Flavored beverage | Acidified; not plain water |
