# 2016 NFL Draft Prospect Rankings — Offense Skill Positions (QB RB WR TE)

| Rank | Player | Position | College |
|---:|---|---|---|
| 1 | Jared Goff | QB | California |
| 2 | Ezekiel Elliott | RB | Ohio State |
| 3 | Carson Wentz | QB | North Dakota State |
| 4 | Laquon Treadwell | WR | Ole Miss |
| 5 | Derrick Henry | RB | Alabama |
| 6 | Corey Coleman | WR | Baylor |
| 7 | C.J. Prosise | RB | Notre Dame |
| 8 | Josh Doctson | WR | TCU |
| 9 | Hunter Henry | TE | Arkansas |
| 10 | Devontae Booker | RB | Utah |
