# International GI Reference Values for Carbohydrate Foods (No Glycemic Load)

| Food item | GI | Reference amount | Country/source note |
|---|---:|---|---|
| White rice, jasmine | 80 | 150 g cooked | Typical SEA varieties |
| White rice, basmati | 58 | 150 g cooked | Longer grain |
| Couscous | 65 | 150 g cooked | Wheat-based |
| Quinoa | 53 | 150 g cooked | Pseudocereal |
| Spaghetti, al dente | 49 | 180 g cooked | Cooking time affects GI |
| Corn tortilla | 52 | 50 g | Depends on processing |
| Boiled potatoes | 78 | 150 g cooked | Variety dependent |
| Sweet potato | 63 | 150 g cooked | Often lower than white potato |
| Table sugar (sucrose) | 65 | 10 g | Reference sweetener |
| Glucose | 100 | 10 g | GI reference standard |
