# Presiding Officers of the United States (Continental Congress) Before the Washington Presidency

| # | Name | Associated State | Body / Era | Notes |
|---:|---|---|---|---|
| 1 | Peyton Randolph | Virginia | Continental Congress (1774) | First President of the Continental Congress |
| 2 | Henry Middleton | South Carolina | Continental Congress (1774) | Succeeded Randolph in 1774 |
| 3 | John Hancock | Massachusetts | Continental Congress (1775–1777) | Longest-serving early presiding officer |
| 4 | Henry Laurens | South Carolina | Continental Congress (1777–1778) | Presided during Revolutionary War period |
| 5 | John Jay | New York | Continental Congress (1778–1779) | Later first Chief Justice of the United States |
| 6 | Samuel Huntington | Connecticut | Continental Congress (1779–1781) | Continued as presiding officer into early Confederation period |
| 7 | Thomas McKean | Delaware | Confederation Congress (1781) | Brief term as President of the United States in Congress Assembled |
| 8 | John Hanson | Maryland | Confederation Congress (1781–1782) | Often cited as first under Articles of Confederation |
| 9 | Elias Boudinot | New Jersey | Confederation Congress (1782–1783) | Served during post-Yorktown transition |
| 10 | Thomas Mifflin | Pennsylvania | Confederation Congress (1783–1784) | Presided during period including army demobilization |
| 11 | Richard Henry Lee | Virginia | Confederation Congress (1784–1785) | Advocate of western land policy |
| 12 | John Hancock | Massachusetts | Confederation Congress (1785–1786) | Elected but largely absent due to health |
| 13 | Nathaniel Gorham | Massachusetts | Confederation Congress (1786) | Presided before Constitutional Convention |
| 14 | Arthur St. Clair | Pennsylvania | Confederation Congress (1787) | Last presiding officer before the new federal government
