# Selected U.S. State Capital Gains Tax Treatment (Short-Term vs Long-Term) — Illustrative Top Marginal Rates

| State | Short-Term Capital Gains Rate (Top) | Long-Term Capital Gains Rate (Top) | Notes |
|---|---:|---:|---|
| California | 13.30% | 13.30% | Taxes capital gains as ordinary income |
| Texas | 0.00% | 0.00% | No state individual income tax |
| Florida | 0.00% | 0.00% | No state individual income tax |
| Washington | 0.00% | 7.00% | Long-term gains tax applies to certain net LT gains; ST generally not taxed as income |
| Oregon | 9.90% | 9.90% | Taxes capital gains as ordinary income |
| Arizona | 2.50% | 2.50% | Flat-rate income tax; gains generally ordinary |
| Colorado | 4.40% | 4.40% | Flat-rate income tax; gains generally ordinary |
| New Hampshire | 0.00% | 0.00% | No wage income tax; legacy interest/dividend tax phased out |
| Tennessee | 0.00% | 0.00% | No wage income tax; Hall tax repealed |
| Massachusetts | 5.00% | 5.00% | Taxes gains as ordinary income (certain higher rate may apply to ST in some cases) |
