# Biblical Baby Names (Old & New Testament) — Meanings and Gender

| Name | Meaning/Definition | Gender | Biblical reference (example) |
| --- | --- | --- | --- |
| Abigail | My father's joy | Girl | 1 Samuel 25 |
| Adam | Man; from the ground | Boy | Genesis 2–3 |
| Deborah | Bee | Girl | Judges 4–5 |
| Elijah | My God is Yahweh | Boy | 1 Kings 17 |
| Elizabeth | God is my oath | Girl | Luke 1 |
| Esther | Star | Girl | Book of Esther |
| Hannah | Favor; grace | Girl | 1 Samuel 1 |
| Isaiah | Yahweh is salvation | Boy | Book of Isaiah |
| Leah | Weary; delicate | Girl | Genesis 29 |
| Micah | Who is like God? | Boy | Micah 1 |
| Naomi | Pleasantness | Girl | Ruth 1 |
| Samuel | Heard by God | Boy | 1 Samuel 1 |
| Sarah | Princess | Girl | Genesis 17 |
| Timothy | Honoring God | Boy | Acts 16; 1 Timothy |
| Zacchaeus | Pure; innocent | Boy | Luke 19 |
