# Governor Term-Limit Rules by U.S. State (Selected States, Rule-Focused Summary)

| State | Term length | Max terms allowed | Limit type (consecutive vs. lifetime) | Reset / eligibility after time out | Notes on wording |
| --- | --- | --- | --- | --- | --- |
| California | 4 years | 2 terms | Lifetime (two terms total) | Not applicable | Often phrased as “may not serve more than two terms.” |
| Arizona | 4 years | 2 terms | Consecutive | Eligible again after a break | Commonly written as “no more than two consecutive terms.” |
| Connecticut | 4 years | Unlimited | null | Not applicable | No constitutional/statutory term-limit cap. |
| Illinois | 4 years | Unlimited | null | Not applicable | No term-limit restriction on re-election. |
| Massachusetts | 4 years | Unlimited | null | Not applicable | No term-limit rule; re-election permitted indefinitely. |
| Michigan | 4 years | 2 terms | Lifetime (two terms total) | Not applicable | Rule is about total service, not consecutive sequencing. |
| Missouri | 4 years | 2 terms | Lifetime (two terms total) | Not applicable | Typically stated as “no person shall serve more than two terms.” |
| New York | 4 years | Unlimited | null | Not applicable | No limit on the number of terms. |
| Virginia | 4 years | 1 term | Consecutive ban (cannot serve back-to-back) | Must sit out one term before running again | Commonly summarized as “no consecutive terms.” |
