# State GOP Primary Poll Index (Pollster List Only, No Vote Shares)

| State Republican Presidential Primary | Pollster | Field Dates | Sample | Mode |
| --- | --- | --- | --- | --- |
| Iowa GOP Caucus | Des Moines Register/Selzer | Jan 2-5 | LV | Phone/Text |
| New Hampshire GOP Primary | Saint Anselm College Survey Center | Jan 4-7 | RV | Phone |
| South Carolina GOP Primary | Winthrop University | Jan 6-9 | RV | Phone |
| Michigan GOP Primary | EPIC-MRA | Jan 3-6 | RV | Phone |
| Nevada GOP Caucus | Suffolk University | Jan 5-8 | RV | Mixed |
| Florida GOP Primary | Mason-Dixon | Jan 2-6 | RV | Phone |
| Texas GOP Primary | University of Texas/Texas Politics Project | Jan 8-12 | RV | Online |
| California GOP Primary | UC Berkeley IGS | Jan 9-13 | RV | Online |
| Pennsylvania GOP Primary | Franklin & Marshall | Jan 7-10 | RV | Phone |
| Virginia GOP Primary | Roanoke College | Jan 5-9 | RV | Mixed |
