# Demographics of Mexico
> Vital statistics

|  | Crude birth rate (per 1000) [19] | Crude death rate (per 1000) [20] | Natural change (per 1000) | Total fertility rate [21] |
| --- | --- | --- | --- |
| 1976 |  |  |  | 5.7 |
| 1981 |  |  |  | 4.4 |
| 1987 |  |  |  | 3.8 |
| 1990 | 27.9 | 5.6 | 22.3 | 3.4 |
| 1991 | 27.5 | 5.5 | 22.0 | 3.3 |
| 1992 | 27.1 | 5.4 | 21.7 | 3.2 |
| 1993 | 26.8 | 5.3 | 21.5 | 3.1 |
| 1994 | 26.3 | 5.2 | 21.1 | 3.0 |
| 1995 | 25.9 | 5.2 | 20.7 | 3.0 |
| 1996 | 25.4 | 5.1 | 20.3 | 2.9 |
| 1997 | 24.8 | 5.1 | 19.7 | 2.8 |
| 1998 | 24.3 | 5.1 | 19.2 | 2.8 |
| 1999 | 23.9 | 5.1 | 18.8 | 2.7 |
| 2000 | 23.4 | 5.1 | 18.3 | 2.6 |
| 2001 | 23.0 | 5.1 | 17.9 | 2.6 |
| 2002 | 22.6 | 5.1 | 17.5 | 2.6 |
| 2003 | 22.2 | 5.2 | 17.0 | 2.5 |
| 2004 | 21.8 | 5.2 | 16.6 | 2.5 |
| 2005 | 21.5 | 5.2 | 16.3 | 2.5 |
| 2006 | 21.1 | 5.3 | 15.8 | 2.4 |
| 2007 | 20.8 | 5.3 | 15.5 | 2.4 |
| 2008 | 20.4 | 5.4 | 15.0 | 2.3 |
| 2009 | 20.1 | 5.5 | 14.6 | 2.3 |
| 2010 | 19.7 | 5.6 | 14.1 | 2.3 |
| 2011 | 19.4 | 5.6 | 13.8 | 2.3 |
| 2012 | 19.2 | 5.7 | 13.5 | 2.2 |
| 2013 | 19.0 | 5.7 | 13.3 | 2.2 |
| 2014 | 18.7 | 5.7 | 13.0 | 2.2 |
| 2015 | 18.5 | 5.7 | 12.8 | 2.2 |
