# Preterm & Term Growth Reference (Gestational Weeks)  Typical Fetal Length and Weight

| Gestational age (weeks) | Typical length (in) | Typical weight (lb) | Notes |
| --- | --- | --- | --- |
| 24 | 11.8–12.6 | 1.2–1.4 | Mid-pregnancy fetal growth |
| 26 | 13.6–14.4 | 1.7–1.9 | Often used in prenatal visits |
| 28 | 14.8–15.7 | 2.2–2.6 | Third-trimester onset |
| 30 | 15.7–16.7 | 2.9–3.3 | Rapid weight gain phase |
| 32 | 16.5–17.6 | 3.8–4.2 | Common ultrasound reference |
| 34 | 17.5–18.2 | 4.7–5.2 | Late preterm range |
| 36 | 18.5–19.0 | 5.6–6.1 | Near-term fetal size |
| 38 | 19.5–20.0 | 6.6–7.2 | Typical term fetal range |
| 40 | 20.0–20.5 | 7.3–8.0 | Estimated at due date |
